编号,内容,"评判维度：物价、交通、卫生、环境、安全、服务、游览、购物
评分规则：高到低，依次为5分，4分，3分，2分，1分",维度,评分（5分制）,关键词判断（从句子中的某些词语得到关键词）
,分句4,交通比较方便,交通,4,方便
,分句5,晚上环境比较安静,环境,4,安静
,分句6,房间比较宽敞,环境,3,宽敞
,分句7,大床是两张小床拼出来的,服务,4,无
,分句8,不过睡起来没什么影响,无,4,影响
,,,,,
167,整体评论,环境还可以的，就是房间太小，服务很好，塑料拖鞋蛮舒服，水壶有股怪味，挺安静的，周边太高大上了，吃饭不方便。,总体,5,
,分句1,环境还可以的,环境,3,环境
,分句2,就是房间太小,环境,3,太小
,分句3,服务很好,服务,3,服务
,分句4,塑料拖鞋蛮舒服,服务,3,舒服
,分句5,水壶有股怪味,服务,3,怪味
,分句6,挺安静的,环境,2,安静
,分句7,周边太高大上了,环境,4,高大上
,分句8,吃饭不方便,购物,3,方便
,,,,,
168,整体评论,环境小 ，周边配套设施差 没有超市 唯一的超市全是进口食品，大厅和房间全是马桶，没有一次性坐垫，，电视连网络也没有 ，还是很传统的服务节目 ， 附近没有什么小吃 楼上几个餐厅 也很差劲 ，建议大家用美团 或做地铁去其他地方,总体,5,
,分句1,环境小,环境,2,环境
,分句2,周边配套设施差,环境,3,配套
,分句3,没有超市,购物,2,超市
,分句4,唯一的超市全是进口食品,购物,4,进口食品
,分句5,大厅和房间全是马桶,环境,4,无
,分句6,没有一次性坐垫,服务,3,一次性
,分句7,电视连网络也没有 ,环境,4,网络
,分句8,还是很传统的服务节目 ,环境,4,传统
,分句9,附近没有什么小吃,购物,3,小吃
,分句10,楼上几个餐厅,购物,3,餐厅
,分句11,也很差劲,服务,3,差劲
,分句12,建议大家用美团 或做地铁去其他地方,总体,5,美团
,,,,,
169,整体评论,在国贸地区，贵酒店房价可以接受，但早自助餐，可能是就餐人员多了，品种沒了，都不及时补给！希望有更好的服务质量！,总体,5,
,分句1,在国贸地区,环境,3,国贸
,分句2,贵酒店房价可以接受,物价,4,房价
,分句3,但早自助餐,服务,3,自助餐
,分句4,可能是就餐人员多了,服务,4,就餐人员
,分句5,品种沒了,服务,2,品种
,分句6,都不及时补给,服务,3,及时
,分句7,希望有更好的服务质量,总体,4,服务质量
,,,,,
170,整体评论,交通便利，服务态度好，直接去地铁站，价格实惠，与国贸大厦相连相通，购物非常方便，环境优美，打车也非常方便,总体,5,
,分句1,交通便利,交通,3,便利
,分句2,服务态度好,服务,3,态度好
,分句3,直接去地铁站,交通,4,地铁
,分句4,价格实惠,物价,3,实惠
,分句5,与国贸大厦相连相通,环境,4,国贸大厦
,分句6,购物非常方便,购物,3,方便
,分句7,环境优美,环境,3,优美
,分句8,打车也非常方便,交通,3,方便
,,,,,
171,整体评论,酒店设施齐全，地理位置得天独厚，虽然房间装修比较简单了点，但总体来说性价比还是非常不错的，可以选择,总体,5,
,分句1,酒店设施齐全,环境,3,齐全
,分句2,地理位置得天独厚,环境,4,得天独厚
,分句3,虽然房间装修比较简单了点,环境,4,简单
,分句4,但总体来说性价比还是非常不错的,物价,5,性价比
,分句5,可以选择,总体,3,选择
,,,,,
172,整体评论,饭店比想象中要好，位置没的说，紧临西客站，饭店门口就是地铁站。感觉这个位置能订到这个房价不容易。房间不错，说是新装修的，房间卫生干净，洗护用品是品牌的用起来安心。饭店服务员很热情为我们指引路线，特别感谢乔经理推荐的特色游览线路。推荐入住。,总体,5,
,分句1,饭店比想象中要好,总体,4,无
,分句2,位置没的说,环境,3,位置
,分句3,紧临西客站,环境,3,西客站
,分句4,饭店门口就是地铁站,交通,4,地铁站
,分句5,感觉这个位置能订到这个房价不容易,物价,5,房价
,分句6,房间不错,环境,3,不错
,分句7,说是新装修的,环境,3,装修
,分句8,房间卫生干净,卫生,3,卫生干净
,分句9,洗护用品是品牌的用起来安心,卫生,5,安心
,分句10,饭店服务员很热情为我们指引路线,服务,5,热情
,分句11,特别感谢乔经理推荐的特色游览线路,服务,5,特色游览
,分句12,推荐入住,无,3,推荐
,,,,,
173,整体评论,酒店大堂很气派，房间很干净。袁经理很热情帮我拿行李，大堂史经理服务热情周到，快速给我办理入住，让人有宾至如归的感觉。离开时大堂孟经理还送了一个小礼品很不错，感谢，酒店停车场大叔也很好，下次还会来这里住的！,总体,5,
,分句1,酒店大堂很气派,环境,3,气派
,分句2,房间很干净,环境,3,干净
,分句3,袁经理很热情帮我拿行李,服务,4,热情
,分句4,大堂史经理服务热情周到,服务,4,热情周到
,分句5,快速给我办理入住,服务,4,快速
,分句6,让人有宾至如归的感觉,服务,3,宾至如归
,分句7,离开时大堂孟经理还送了一个小礼品很不错,服务,5,小礼品
,分句8,感谢,无,3,无
,分句9,酒店停车场大叔也很好,安全,4,无
,分句10,下次还会来这里住的,无,4,无
,,,,,
174,整体评论,酒店交通方便，设施也还算新。离西客站不到一公里。酒店服务人员很热情，客房服务员张瑞保还手写一些欢迎卡，挺有意思,总体,5,
,分句1,酒店交通方便,交通,3,方便
,分句2,设施也还算新,环境,3,设施
,分句3,离西客站不到一公里,交通,4,西客站不
,分句4,酒店服务人员很热情,服务,4,热情
,分句5,客房服务员张瑞保还手写一些欢迎卡,服务,4,欢迎卡
,分句6,挺有意思,无,3,意思
,,,,,
175,整体评论,老牌五星酒店，服务很热情。大堂经理乔经理处理问题彬彬有礼，细致周到。这次出行忘记带充电器，乔经理不仅把自己的充电器送给我用，第二天还送给我一根数据线方便我旅途中使用赞。房间干净卫生好，赠送新鲜水果，客房服务赵庆生还主动提示我近期天气情况，真棒！,总体,5,
,分句1,老牌五星酒店,总体,3,五星酒店
,分句2,服务很热情,服务,3,热情
,分句3,大堂经理乔经理处理问题彬彬有礼,服务,5,彬彬有礼
,分句4,细致周到,服务,3,细致周到
,分句5,这次出行忘记带充电器,服务,4,忘记
,分句6,乔经理不仅把自己的充电器送给我用,服务,5,送给
,分句7,第二天还送给我一根数据线方便我旅途中使用,服务,5,方便
,分句8,房间干净卫生好,卫生,4,干净卫生
,分句9,赠送新鲜水果,服务,4,赠送
,分句10,客房服务赵庆生还主动提示我近期天气情况,服务,5,主动
,分句11,真棒,无,3,无
,,,,,
176,整体评论,酒店离北京西站不远，楼下就是地铁10号线，出行很方便。店内干净整洁，房间安静，简美装修风格很舒适，性价比超高！,总体,5,
,分句1,酒店离北京西站不远,环境,4,西站
,分句2,楼下就是地铁10号线,交通,4,地铁
,分句3,出行很方便,交通,3,方便
,分句4,房间安静,环境,3,安静
,分句5,简美装修风格很舒适,环境,4,舒适
,分句6,性价比超高,物价,3,性价比
,,,,,
177,整体评论,老酒店了，设施新旧程度一般，空调很给力！前台人太少肯能内部流程过于复杂…还要等查房…尤其是房间一起退时结账时间过长！！早餐也不够丰盛……更没有特色很失望！,总体,5,
,分句1,老酒店了,总体,2,无
,分句2,设施新旧程度一般,环境,3,设施
,分句3,空调很给力,环境,2,给力
,分句4,前台人太少肯能内部流程过于复杂,服务,4,复杂
,分句5,还要等查房,服务,2,查房
,分句6,尤其是房间一起退时结账时间过长,服务,5,结账
,分句7,早餐也不够丰盛,服务,3,丰盛
,分句8,更没有特色很失望,无,3,失望
,,,,,
178,整体评论,服务非常好，入住速度很快，尤其是前台接待李漫女士让人宾至如归的感觉，值得点赞和表扬，我们的服务业需要更多个李漫存在，这样我们的生活就到处充满鲜花！,总体,5,
,分句1,服务非常好,服务,3,服务
,分句2,入住速度很快,服务,4,速度
,分句3,尤其是前台接待李漫女士让人宾至如归的感觉,服务,5,宾至如归
,分句4,值得点赞和表扬,服务,4,表扬
,分句5,我们的服务业需要更多个李漫存在,无,5,服务业
,分句6,这样我们的生活就到处充满鲜花,服务,5,鲜花
,,,,,
179,整体评论,酒店早餐服务热情周到，非常好，对得起这个星级。前台服务一般，就不恭维啦。从酒店窗口就能看到火车，但房间里挺安静，床也很舒适，一觉睡到天亮。卫生也很好。,总体,5,
,分句1,酒店早餐服务热情周到,服务,4,热情周到
,分句2,非常好,服务,2,非常好
,分句3,对得起这个星级,服务,4,星级
,分句4,前台服务一般,服务,3,票价
,分句5,不恭维啦,服务,3,恭维
,分句6,从酒店窗口就能看到火车,环境,5,火车
,分句7,但房间里挺安静,环境,4,安静
,分句8,床也很舒适,环境,4,舒适
,分句9,觉睡到天亮,环境,4,无
,分句10,卫生也很好,卫生,4,卫生
,,,,,
180,整体评论,酒店地理位置靠近北京西客站，酒店设施也不错，为客人准备的东西也挺多，细节很到位，总体来说是一家非常好的酒店,总体,5,
,分句1,酒店地理位置靠近北京西客站,环境,4,西客站
,分句2,酒店设施也不错,环境,4,设施
,分句3,为客人准备的东西也挺多,服务,4,多
,分句4,细节很到位,服务,3,到位
,分句5,总体来说是一家非常好的酒店,总体,5,总体
,,,,,
181,整体评论,酒店交通便利，房间硬件设施好。特别是前台服务员贾珊热情周到，客人提出换房，不厌其烦的为客人协调。下次出差还住这里,总体,5,
,分句1,酒店交通便利,交通,3,便利
,分句2,房间硬件设施好,环境,3,硬件设施
,分句3,特别是前台服务员贾珊热情周到,服务,5,热情周到
,分句4,客人提出换房,服务,4,无
,分句5,不厌其烦的为客人协调,服务,5,不厌其烦
,分句6,下次出差还住这里,无,4,无
,,,,,
182,整体评论,出门三分钟就是地铁，房间设施跟香格里拉比稍微逊色一些，卫生还可以，已够五星标准，离故宫很近，打车十分钟就能到，很方便，退房的时候太匆忙把东西忘在房间了，尝试打电话联系酒店，东西不值钱可要可不要，但很快收到酒店快递，这点很赞，，服务让人放心，下次来北京还选择这家,总体,5,
,分句1,出门三分钟就是地铁,交通,4,地铁
,分句2,房间设施跟香格里拉比稍微逊色一些,环境,5,逊色
,分句3,卫生还可以,卫生,3,卫生
,分句4,已够五星标准,总体,3,五星标准
,分句5,离故宫很近,游览,3,故宫
,分句6,打车十分钟就能到,交通,3,无
,分句7,很方便,交通,3,方便
,分句8,退房的时候太匆忙把东西忘在房间了,服务,5,匆忙
,分句9,尝试打电话联系酒店,服务,4,联系
,分句10,东西不值钱可要可不要,服务,4,值钱
,分句11,但很快收到酒店快递,服务,4,快递
,分句12,这点很赞,服务,3,很赞
,分句13,服务让人放心,服务,3,人放心
,分句14,下次来北京还选择这家,无,5,无
,,,,,
183,整体评论,楼下就是十号线地铁站B出口，但有一段地铁站内上来只有台阶没电梯，搬箱子要疯了，酒店很不错，乔东波大堂经理服务很好，值得再次入住！,总体,5,
,分句1,楼下就是十号线地铁站B出口,交通,4,地铁站
,分句2,但有一段地铁站内上来只有台阶没电梯,环境,5,电梯
,分句3,搬箱子要疯了,无,3,疯了
,分句4,酒店很不错,总体,3,无
,分句5,乔东波大堂经理服务很好,服务,4,大堂经理
,分句6,值得再次入住,无,3,再次
,,,,,
184,整体评论,位置不错，离西站不远，离莲花桥地铁站B口很近，步行五分钟，免费升级了高级商务间，一室一厅独立衣帽间，很大，早餐一般般品种不多，但质量尚可，性价比不错。,总体,5,
,分句1,位置不错,环境,3,位置
,分句2,离西站不远,交通,3,西站
,分句3,离莲花桥地铁站B口很近,交通,4,地铁站
,分句4,步行五分钟,交通,3,步行
,分句5,免费升级了高级商务间,服务,5,商务间
,分句6,一室一厅独立衣帽间,环境,4,衣帽间
,分句7,很大,环境,3,无
,分句8,早餐一般般品种不多,服务,5,品种
,分句9,但质量尚可,卫生,4,质量
,分句10,性价比不错,物价,4,性价比
,,,,,
185,整体评论,首次入住，从大堂到客房部服务贴心热情，感觉很有归属感，员工素质高，责任心强，工作业务能力强。给五星好评。服务员王威和王冬梅特别贴心，非常感谢两位美女。,总体,5,
,分句1,首次入住,无,2,无
,分句2,从大堂到客房部服务贴心热情,服务,4,贴心热情
,分句3,感觉很有归属感,服务,4,归属感
,分句4,员工素质高,服务,5,素质
,分句5,责任心强,服务,5,责任心
,分句6,工作业务能力强,服务,4,业务能力
,分句7,给五星好评,服务,4,五星好评
,分句8,服务员王威和王冬梅特别贴心,服务,5,贴心
,分句9,非常感谢两位美女,服务,3,无
,,,,,
186,整体评论,真心觉得不错👍地理位置优越，离北京西站只有几分钟时间，条件，服务都超级到位。绝对要好评！,总体,5,
,分句1,真心觉得不错,总体,3,真心
,分句2,地理位置优越,环境,3,优越
,分句3,离北京西站只有几分钟时间,交通,4,西站
,分句4,条件，服务都超级到位,服务,3,到位
,分句5,绝对要好评,无,3,好评
,,,,,
187,整体评论,第二次入住该处了，离地铁站很近，出行非常方便，饭店环境也好，装修气派，房间很干净舒适，自己觉得非常棒，下次来北京还住这家。,总体,5,
,分句1,第二次入住该处了,无,3,第二次
,分句2,离地铁站很近,交通,3,地铁站
,分句3,出行非常方便,交通,3,方便
,分句4,饭店环境也好,环境,4,环境
,分句5,装修气派,环境,3,气派
,分句6,房间很干净舒适,环境,5,干净舒适
,分句7,自己觉得非常棒,总体,5,无
,分句8,下次来北京还住这家,无,4,无
,,,,,
188,整体评论,酒店是五星的，早餐比较精致，上档次。酒店离北京西站步行十分钟，赶高铁的到推荐入住。有停车场，挺方便的。出门就是地铁口。,总体,5,
,分句1,酒店是五星的,总体,3,五星
,分句2,早餐比较精致,服务,3,精致
,分句3,上档次,服务,2,上档次
,分句4,酒店离北京西站步行十分钟,交通,4,西站
,分句5,赶高铁的到推荐入住,交通,4,高铁
,分句6,有停车场,环境,2,停车场
,分句7,挺方便的,环境,3,方便
,分句8,出门就是地铁口,环境,3,地铁口
,,,,,
189,整体评论,常住这家京都信苑饭店，酒店环境好，房间卫生干净，硬件设施齐全，地铁口10号线就在边上，交通便利，特别是市场部杨立秀服务热情。,总体,5,
,分句1,常住这家京都信苑饭店,无,3,常住
,分句2,酒店环境好,环境,4,环境
,分句3,房间卫生干净,卫生,4,卫生干净
,分句4,硬件设施齐全,环境,4,设施齐全
,分句5,地铁口10号线就在边上,交通,5,地铁
,分句6,交通便利,交通,3,交通便利
,分句7,特别是市场部杨立秀服务热情,服务,5,服务热情
,,,,,
190,整体评论,离地铁很近，环境也不错，附近有个大超市，购物也方便。,总体,5,
,分句1,离地铁很近,环境,2,地铁
,分句2,环境也不错,环境,3,环境
,分句3,附近有个大超市,购物,4,大超市
,分句4,购物也方便,购物,3,方便
,,,,,
191,整体评论,酒店隔音一般，安全性很好，房间用品也不错，周边吃的地方和超市少，近北京西站，性价比还是很高的，毕竟五星品质在,总体,5,
,分句1,酒店隔音一般,环境,3,隔音
,分句2,安全性很好,安全,2,安全性
,分句3,房间用品也不错,卫生,3,用品
,分句4,周边吃的地方和超市少,购物,4,超市
,分句5,近北京西站,交通,3,西站
,分句6,性价比还是很高的,物价,4,性价比
,分句7,毕竟五星品质在,总体,4,五星品质
,,,,,
192,整体评论,离地铁很近，只有200米左右；房间很干净，没有任何异味；唯一有遗憾的，春节放假，周围没有商业体，有点不方便！,总体,5,
,分句1,离地铁很近,交通,3,地铁
,分句2,只有200米左右,交通,3,无
,分句3,房间很干净,卫生,3,干净
,分句4,没有任何异味,卫生,3,异味
,分句5,唯一有遗憾的,无,3,遗憾
,分句6,春节放假,无,3,春节
,分句7,周围没有商业体,购物,3,商业体
,分句8,有点不方便,购物,3,方便
,,,,,
193,整体评论,房间是大床房，挑选了个枕头很舒服。客房服务人员石志英很细致，很周到。酒店就在地铁口边上，周边出行很方便，就是办理入住等待时间有点长。,总体,5,
,分句1,房间是大床房,环境,4,大床房
,分句2,挑选了个枕头很舒服,环境,4,舒服
,分句3,客房服务人员石志英很细致,服务,4,细致
,分句4,很周到,服务,3,周到
,分句5,酒店就在地铁口边上,交通,4,地铁
,分句6,周边出行很方便,交通,4,方便
,分句7,就是办理入住等待时间有点长,服务,5,等待
,,,,,
194,整体评论,入住后很意外，设施很好，房间很亮，细节考虑周到，洗浴用品是明辉生产的，不错。窗外景观很赞。健身房还有专职教练指导。早餐在一楼咖啡厅 中规中矩的五星标准，有酸奶，现磨咖啡。唯一不足是停车收费太贵，住一夜一早八点多离开要收那么多停车费,总体,5,
,分句1,入住后很意外,无,3,意外
,分句2,设施很好,环境,2,设施
,分句3,房间很亮,环境,2,很亮
,分句4,细节考虑周到,环境,3,周到
,分句5,洗浴用品是明辉生产的,卫生,4,无
,分句6,不错,无,3,无
,分句7,窗外景观很赞,环境,3,景观
,分句8,健身房还有专职教练指导,服务,4,专职教练
,分句9,早餐在一楼咖啡厅 中规中矩的五星标准,服务,5,五星标准
,分句10,有酸奶，现磨咖啡,服务,4,无
,分句11,唯一不足是停车收费太贵,物价,5,贵
,分句12,住一夜一早八点多离开要收那么多停车费,物价,5,停车费
,,,,,
195,整体评论,特别棒的一个酒店！真的很干净，闹中取静！下次还住这星！服务的也非常好！房间干净整洁！并且不干燥！喜欢这种感觉！,总体,5,
,分句1,特别棒的一个酒店,总体,4,无
,分句2,真的很干净,卫生,3,干净
,分句3,闹中取静,环境,3,闹中取静
,分句4,下次还住这星,无,3,无
,分句5,服务的也非常好,服务,3,服务
,分句6,房间干净整洁,卫生,3,干净整洁
,分句7,并且不干燥,服务,3,干燥
,分句8,喜欢这种感觉,无,3,感觉
,,,,,
196,整体评论,客房空間大、床大舒適。服務優質、清潔人員宋利花特別親切、打掃乾淨俐落。餐廳也不錯👍出差旅遊都推薦,总体,5,
,分句1,客房空間大,环境,3,空間
,分句2,床大舒適,环境,3,舒適
,分句3,服務優質,服务,3,優質
,分句4,清潔人員宋利花特別親切,服务,4,親切
,分句5,打掃乾淨俐落,卫生,4,乾淨俐落
,分句6,餐廳也不錯,环境,4,餐廳
,分句7,出差旅遊都推薦,无,3,推薦
,,,,,
197,整体评论,位置特别好，出行很方便，机场，火车站或地铁出行都很便利。 房间干净房间布局合理，各项设施齐全，干净整洁。，晚上非常安静。 前台服务热情，酒店服务人员态度都很不错。 性价比比较高，值得推荐。,总体,5,
,分句1,位置特别好,环境,3,位置
,分句2,出行很方便,交通,3,方便
,分句3,机场，火车站或地铁出行都很便利,交通,4,便利
,分句4,房间干净房间布局合理,卫生,4,布局合理
,分句5,各项设施齐全,环境,3,设施齐全
,分句6,干净整洁,卫生,3,干净整洁
,分句7,晚上非常安静,环境,3,安静
,分句8,前台服务热情，,服务,3,热情
,分句9,酒店服务人员态度都很不错,服务,4,态度
,分句10, 性价比比较高,物价,3, 性价比
,分句11,值得推荐,无,3,推荐
,,,,,
198,整体评论,交通便捷，出门5分钟就可以走到高铁站了，卫生整洁，干净，还免费升级了房间，感觉真好。下次过来还会选择这里。,总体,5,
,分句1,交通便捷,交通,3,便捷
,分句2,出门5分钟就可以走到高铁站了,交通,5,高铁站
,分句3,卫生整洁,卫生,3,卫生整洁
,分句4,干净,卫生,3,干净
,分句5,还免费升级了房间,服务,3,免费升级
,分句6,感觉真好,服务,3,感觉
,分句7,下次过来还会选择这里,无,4,无
,,,,,
199,整体评论,这个酒店特别好，在北京西站边上，不过北京西站太大，走路过去还是要二十多分钟把，三楼就是全聚德。酒店干净卫生，特别好，下次我还要住这里,总体,5,
,分句1,这个酒店特别好,总体,3,无
,分句2,在北京西站边上,环境,3,西站
,分句3,不过北京西站太大,环境,3,西站
,分句4,走路过去还是要二十多分钟把,交通,4,走路
,分句5,三楼就是全聚德,环境,3,全聚德
,分句6,酒店干净卫生,卫生,3,干净卫生
,分句7,特别好,无,2,无
,分句8,下次我还要住这里,无,3,无
,,,,,
200,整体评论,离西客站很近，乘车方便。房间较大，干净，服务态度较好，但设施较旧，绝对没有四星级酒店气派豪华的感受,总体,5,
,分句1,离西客站很近,交通,3,西客站
,分句2,乘车方便,交通,3,方便
,分句3,房间较大,环境,3,大
,分句4,干净,卫生,2,干净
,分句5,服务态度较好,服务,3,态度
,分句6,但设施较旧,环境,3,设施
,分句7,绝对没有四星级酒店气派豪华的感受,总体,5,气派豪华
,,,,,
201,整体评论,房间宽敞明亮，干净卫生舒适，酒店就在北京西站南广场旁边交通便利，出差旅游住该饭店是不错的选择。房间空调效果不太好，价格能更优惠点就好了,总体,5,
,分句1,房间宽敞明亮,环境,3,宽敞明亮
,分句2,干净卫生舒适,卫生,3,干净卫生
,分句3,酒店就在北京西站南广场旁边交通便利,交通,5,便利
,分句4,出差旅游住该饭店是不错的选择,无,5,选择
,分句5,房间空调效果不太好,环境,4,无
,分句6,价格能更优惠点就好了,物价,4,优惠
,,,,,
202,整体评论,房间整体还不错，虽然是老酒店，但是不算落后，挺好的。前台住宿手续很正规，态度不错。饭店周边有餐饮，打车也较方便，总体不错。,总体,5,
,分句1,房间整体还不错,总体,3,整体
,分句2,虽然是老酒店,无,3,无
,分句3,但是不算落后,环境,3,落后
,分句4,挺好的,无,2,无
,分句5,前台住宿手续很正规,安全,4,正规
,分句6,态度不错,服务,3,态度
,分句7,饭店周边有餐饮,购物,4,餐饮
,分句8,打车也较方便,交通,4,方便
,分句9,总体不错,总体,3,无
,,,,,
203,整体评论,交通很方便，走路三分钟到达西客站。出门三分钟可以到达七号线。附近吃饭地方也很多。非常方便,总体,5,
,分句1,交通很方便,交通,2,方便
,分句2,走路三分钟到达西客站,交通,4,西客站
,分句3,出门三分钟可以到达七号线,交通,4,七号线
,分句4,附近吃饭地方也很多,购物,4,无
,分句5,非常方便,环境,3,方便
,,,,,
204,整体评论,酒店位置绝对好，出门左手走，300米可到北京西站南广场，出门右手走，550米可到湾子地铁站，房间床很大，不错，值得推荐。,总体,5,
,分句1,酒店位置绝对好,环境,4,位置
,分句2,出门左手走,交通,3,无
,分句3,300米可到北京西站南广场,交通,4,北京西站
,分句4,出门右手走,交通,3,无
,分句5,550米可到湾子地铁站,交通,4,地铁站
,分句6,房间床很大,环境,3,无
,分句7,不错,无,3,无
,分句8,值得推荐,无,3,推荐
,,,,,
205,整体评论,距离北京西站非常近，也就5，6分钟的路程，饭店住宿环境，服务很好。餐厅环境不错，但是餐厅的菜品不敢恭维，价格也比较高。斜对面吃早，晚饭都很方便。,总体,5,
,分句1,距离北京西站非常近,交通,4,西站
,分句2,也就5，6分钟的路程,交通,4,路程
,分句3,"饭店住宿环境,服务很好",环境,4,服务很好
,分句4,餐厅环境不错,环境,3,环境
,分句5,但是餐厅的菜品不敢恭维,环境,4,不敢恭维
,分句6,价格也比较高,物价,3,价格
,分句7,斜对面吃早，晚饭都很方便,购物,4,方便
,,,,,
206,整体评论,离北京西很近，饭店三楼有全聚德烤鸭店，二楼中餐，住宿清静优雅，房间布局合理，各项设施齐全，干净整洁，下次还来住！,总体,5,
,分句1,离北京西很近,交通,3,北京西
,分句2,饭店三楼有全聚德烤鸭店,环境,4,全聚德
,分句3,二楼中餐,环境,2,中餐
,分句4,住宿清静优雅,环境,4,清静优雅
,分句5,房间布局合理,环境,4,布局合理
,分句6,各项设施齐全,环境,4,设施齐全
,分句7,干净整洁,卫生,3,干净整洁
,分句8,下次还来住,无,3,无
,,,,,
207,整体评论,环境优越，离高铁站仅5分钟路程，服务态度佳，房间内干净、利落，层次感比较强！让人有一种回家的感觉，原先住过，下次还去！,总体,5,
,分句1,环境优越,环境,3,优越
,分句2,离高铁站仅5分钟路程,交通,4,路程
,分句3,服务态度佳,服务,3,态度佳
,分句4,房间内干净、利落,环境,4,干净、利落
,分句5,层次感比较强,环境,4,层次感
,分句6,让人有一种回家的感觉,环境,4,无
,分句7,原先住过,无,3,无
,分句8,下次还去,无,3,无
,,,,,
208,整体评论,房间设施较旧，跟一般三星的差不多。但是还是比较干净的，40元的自助早餐也不错，是四星级的标准。如果第二天坐火车，这个地方不错，离火车站步行五分钟。,总体,5,
,分句1,房间设施较旧,环境,3,旧
,分句2,跟一般三星的差不多,环境,4,无
,分句3,但是还是比较干净的,卫生,4,干净
,分句4,40元的自助早餐也不错,物价,5,自助早餐
,分句5,是四星级的标准,物价,4,四星级
,分句6,如果第二天坐火车,无,4,火车
,分句7,这个地方不错,无,3,无
,分句8,离火车站步行五分钟,交通,4,步行
,,,,,
209,整体评论,"交通，服务，卫生，其它设施都像当好，方便，周到，干净，我第一次入住挺满意。
",总体,5,
,分句1,交通，服务，卫生，其它设施都像当好,交通,4,像当好
,分句2,方便，周到，干净,卫生,3,方便，周到，干净
,分句3,我第一次入住挺满意,无,3,满意
,,,,,
210,整体评论,毗邻北京西站南广场，交通便利。酒店环境优良，价格合理。公务出差，家庭出游的首选之处。建议大家通过App软件订房，快捷便利。,总体,5,
,分句1,毗邻北京西站南广场,环境,4,北京西站
,分句2,交通便利,交通,3,便利
,分句3,酒店环境优良,环境,3,优良
,分句4,价格合理,物价,3,合理
,分句5,公务出差,无,3,公务
,分句6,家庭出游的首选之处,无,4,家庭
,分句7,建议大家通过App软件订房,无,4,软件
,分句8,快捷便利,无,3,快捷便利
,,,,,
211,整体评论,老的四星级酒店，离北京西站近，不过设施有点旧，无线没有信号，电视机没有信号，空调忽冷忽热，导致我感冒了，再也不会去住了,总体,5,
,分句1,老的四星级酒店,总体,4,四星级
,分句2,离北京西站近,环境,3,北京西站
,分句3,不过设施有点旧,环境,4,旧
,分句4,无线没有信号,环境,4,信号
,分句5,电视机没有信号,环境,4,信号
,分句6,空调忽冷忽热,环境,3,忽冷忽热
,分句7,导致我感冒了,无,3,感冒
,分句8,再也不会去住了,无,3,无
,,,,,
212,整体评论,酒店离西站很近，交通便利，从地铁南口出左转就能看见大方酒店，酒店旁边的全季酒店楼下有好几家饭馆味道不错还不贵，酒店服务不错三楼有全聚德烤鸭,总体,5,
,分句1,酒店离西站很近,环境,3,西站
,分句2,交通便利,交通,3,便利
,分句3,从地铁南口出左转就能看见大方酒店,环境,5,地铁
,分句4,酒店旁边的全季酒店楼下有好几家饭馆味道不错还不贵,购物,5,全季酒店
,分句5,酒店服务不错三楼有全聚德烤鸭,服务,4,全聚德
,,,,,
213,整体评论,北京西站北广场穿过地下通道到南广场3分钟， 再走到酒店约2分钟， 地下停车场停车每小时6元，早餐可以， 地铁湾子站出5分钟就到达酒店，酒店设施干净，卫生。2米的大床很大。,总体,5,
,分句1,北京西站北广场穿过地下通道到南广场3分钟,交通,5,西站
,分句2,再走到酒店约2分钟,交通,4,走
,分句3,地下停车场停车每小时6元,物价,4,停车场
,分句4,早餐可以,服务,3,早餐
,分句5,地铁湾子站出5分钟就到达酒店,交通,4,地铁
,分句6,酒店设施干净，卫生,卫生,3,干净，卫生
,分句7,2米的大床很大,无,3,无
,,,,,
214,整体评论,离北京西站很近，让人觉得很方便。第二次入住，感觉虽然处于闹市区不远，但并不嘈杂。去马连道，还有其他地方距离都比较合适。,总体,5,
,分句1,离北京西站很近,环境,3,西站
,分句2,让人觉得很方便,交通,3,方便
,分句3,第二次入住,无,3,无
,分句4,感觉虽然处于闹市区不远,环境,4,闹市区
,分句5,但并不嘈杂,环境,3,嘈杂
,分句6,去马连道，还有其他地方距离都比较合适,交通,5,合适
,,,,,
215,整体评论,交通便利，服务周到，价格合理，设施完善，停车方便，有北京特色歺饮，有休闲健身场所，是可接受的星级宾馆，本人来京习惯入住此处,总体,5,
,分句1,交通便利,交通,3,便利
,分句2,服务周到,服务,3,周到
,分句3,价格合理,物价,3,合理
,分句4,设施完善,环境,3,完善
,分句5,停车方便,服务,3,方便
,分句6,有北京特色歺饮,购物,4,特色
,分句7,有休闲健身场所,环境,4,休闲健身
,分句8,是可接受的星级宾馆,总体,5,星级宾馆
,分句9,本人来京习惯入住此处,无,4,无
,,,,,
216,整体评论,出差预定了行政单间，新装修的味道比较大。早餐品种较多，口味不错。离军博地铁站步行5分钟，周边有公园和中华世界坛景点。,总体,5,
,分句1,出差预定了行政单间,无,4,行政单间
,分句2,新装修的味道比较大,环境,4,装修
,分句3,早餐品种较多,服务,3,品种
,分句4,口味不错,服务,3,口味
,分句5,离军博地铁站步行5分钟,交通,4,地铁站
,分句6,周边有公园和中华世界坛景点,交通,5,坛景点
,,,,,
217,整体评论,服务很好，尤其是总台的服务更好，交通非常方便，周边环境好，设施齐全，酒店卫生很不错，下次再进京，这里是首选。,总体,5,
